annots,mix,music,sfx,speech
D:\dnr\tr\86981\annots.csv,D:\dnr\tr\86981\mix.wav,D:\dnr\tr\86981\music.wav,D:\dnr\tr\86981\sfx.wav,D:\dnr\tr\86981\speech.wav
D:\dnr\tr\86996\annots.csv,D:\dnr\tr\86996\mix.wav,D:\dnr\tr\86996\music.wav,D:\dnr\tr\86996\sfx.wav,D:\dnr\tr\86996\speech.wav
D:\dnr\tr\87002\annots.csv,D:\dnr\tr\87002\mix.wav,D:\dnr\tr\87002\music.wav,D:\dnr\tr\87002\sfx.wav,D:\dnr\tr\87002\speech.wav
D:\dnr\tr\87043\annots.csv,D:\dnr\tr\87043\mix.wav,D:\dnr\tr\87043\music.wav,D:\dnr\tr\87043\sfx.wav,D:\dnr\tr\87043\speech.wav
D:\dnr\tr\87088\annots.csv,D:\dnr\tr\87088\mix.wav,D:\dnr\tr\87088\music.wav,D:\dnr\tr\87088\sfx.wav,D:\dnr\tr\87088\speech.wav
D:\dnr\tr\87258\annots.csv,D:\dnr\tr\87258\mix.wav,D:\dnr\tr\87258\music.wav,D:\dnr\tr\87258\sfx.wav,D:\dnr\tr\87258\speech.wav
D:\dnr\tr\87293\annots.csv,D:\dnr\tr\87293\mix.wav,D:\dnr\tr\87293\music.wav,D:\dnr\tr\87293\sfx.wav,D:\dnr\tr\87293\speech.wav
D:\dnr\tr\87307\annots.csv,D:\dnr\tr\87307\mix.wav,D:\dnr\tr\87307\music.wav,D:\dnr\tr\87307\sfx.wav,D:\dnr\tr\87307\speech.wav
D:\dnr\tr\87314\annots.csv,D:\dnr\tr\87314\mix.wav,D:\dnr\tr\87314\music.wav,D:\dnr\tr\87314\sfx.wav,D:\dnr\tr\87314\speech.wav
D:\dnr\tr\87326\annots.csv,D:\dnr\tr\87326\mix.wav,D:\dnr\tr\87326\music.wav,D:\dnr\tr\87326\sfx.wav,D:\dnr\tr\87326\speech.wav
D:\dnr\tr\8737\annots.csv,D:\dnr\tr\8737\mix.wav,D:\dnr\tr\8737\music.wav,D:\dnr\tr\8737\sfx.wav,D:\dnr\tr\8737\speech.wav
D:\dnr\tr\87372\annots.csv,D:\dnr\tr\87372\mix.wav,D:\dnr\tr\87372\music.wav,D:\dnr\tr\87372\sfx.wav,D:\dnr\tr\87372\speech.wav
D:\dnr\tr\87413\annots.csv,D:\dnr\tr\87413\mix.wav,D:\dnr\tr\87413\music.wav,D:\dnr\tr\87413\sfx.wav,D:\dnr\tr\87413\speech.wav
D:\dnr\tr\87416\annots.csv,D:\dnr\tr\87416\mix.wav,D:\dnr\tr\87416\music.wav,D:\dnr\tr\87416\sfx.wav,D:\dnr\tr\87416\speech.wav
D:\dnr\tr\87443\annots.csv,D:\dnr\tr\87443\mix.wav,D:\dnr\tr\87443\music.wav,D:\dnr\tr\87443\sfx.wav,D:\dnr\tr\87443\speech.wav
D:\dnr\tr\87507\annots.csv,D:\dnr\tr\87507\mix.wav,D:\dnr\tr\87507\music.wav,D:\dnr\tr\87507\sfx.wav,D:\dnr\tr\87507\speech.wav
D:\dnr\tr\8753\annots.csv,D:\dnr\tr\8753\mix.wav,D:\dnr\tr\8753\music.wav,D:\dnr\tr\8753\sfx.wav,D:\dnr\tr\8753\speech.wav
D:\dnr\tr\8754\annots.csv,D:\dnr\tr\8754\mix.wav,D:\dnr\tr\8754\music.wav,D:\dnr\tr\8754\sfx.wav,D:\dnr\tr\8754\speech.wav
D:\dnr\tr\87545\annots.csv,D:\dnr\tr\87545\mix.wav,D:\dnr\tr\87545\music.wav,D:\dnr\tr\87545\sfx.wav,D:\dnr\tr\87545\speech.wav
D:\dnr\tr\87556\annots.csv,D:\dnr\tr\87556\mix.wav,D:\dnr\tr\87556\music.wav,D:\dnr\tr\87556\sfx.wav,D:\dnr\tr\87556\speech.wav
D:\dnr\tr\8757\annots.csv,D:\dnr\tr\8757\mix.wav,D:\dnr\tr\8757\music.wav,D:\dnr\tr\8757\sfx.wav,D:\dnr\tr\8757\speech.wav
D:\dnr\tr\87570\annots.csv,D:\dnr\tr\87570\mix.wav,D:\dnr\tr\87570\music.wav,D:\dnr\tr\87570\sfx.wav,D:\dnr\tr\87570\speech.wav
D:\dnr\tr\87590\annots.csv,D:\dnr\tr\87590\mix.wav,D:\dnr\tr\87590\music.wav,D:\dnr\tr\87590\sfx.wav,D:\dnr\tr\87590\speech.wav
D:\dnr\tr\87647\annots.csv,D:\dnr\tr\87647\mix.wav,D:\dnr\tr\87647\music.wav,D:\dnr\tr\87647\sfx.wav,D:\dnr\tr\87647\speech.wav
D:\dnr\tr\87656\annots.csv,D:\dnr\tr\87656\mix.wav,D:\dnr\tr\87656\music.wav,D:\dnr\tr\87656\sfx.wav,D:\dnr\tr\87656\speech.wav
D:\dnr\tr\87661\annots.csv,D:\dnr\tr\87661\mix.wav,D:\dnr\tr\87661\music.wav,D:\dnr\tr\87661\sfx.wav,D:\dnr\tr\87661\speech.wav
D:\dnr\tr\87676\annots.csv,D:\dnr\tr\87676\mix.wav,D:\dnr\tr\87676\music.wav,D:\dnr\tr\87676\sfx.wav,D:\dnr\tr\87676\speech.wav
D:\dnr\tr\87680\annots.csv,D:\dnr\tr\87680\mix.wav,D:\dnr\tr\87680\music.wav,D:\dnr\tr\87680\sfx.wav,D:\dnr\tr\87680\speech.wav
D:\dnr\tr\87734\annots.csv,D:\dnr\tr\87734\mix.wav,D:\dnr\tr\87734\music.wav,D:\dnr\tr\87734\sfx.wav,D:\dnr\tr\87734\speech.wav
D:\dnr\tr\87736\annots.csv,D:\dnr\tr\87736\mix.wav,D:\dnr\tr\87736\music.wav,D:\dnr\tr\87736\sfx.wav,D:\dnr\tr\87736\speech.wav
D:\dnr\tr\87770\annots.csv,D:\dnr\tr\87770\mix.wav,D:\dnr\tr\87770\music.wav,D:\dnr\tr\87770\sfx.wav,D:\dnr\tr\87770\speech.wav
D:\dnr\tr\87851\annots.csv,D:\dnr\tr\87851\mix.wav,D:\dnr\tr\87851\music.wav,D:\dnr\tr\87851\sfx.wav,D:\dnr\tr\87851\speech.wav
D:\dnr\tr\8786\annots.csv,D:\dnr\tr\8786\mix.wav,D:\dnr\tr\8786\music.wav,D:\dnr\tr\8786\sfx.wav,D:\dnr\tr\8786\speech.wav
D:\dnr\tr\87863\annots.csv,D:\dnr\tr\87863\mix.wav,D:\dnr\tr\87863\music.wav,D:\dnr\tr\87863\sfx.wav,D:\dnr\tr\87863\speech.wav
D:\dnr\tr\8788\annots.csv,D:\dnr\tr\8788\mix.wav,D:\dnr\tr\8788\music.wav,D:\dnr\tr\8788\sfx.wav,D:\dnr\tr\8788\speech.wav
D:\dnr\tr\87902\annots.csv,D:\dnr\tr\87902\mix.wav,D:\dnr\tr\87902\music.wav,D:\dnr\tr\87902\sfx.wav,D:\dnr\tr\87902\speech.wav
D:\dnr\tr\87903\annots.csv,D:\dnr\tr\87903\mix.wav,D:\dnr\tr\87903\music.wav,D:\dnr\tr\87903\sfx.wav,D:\dnr\tr\87903\speech.wav
D:\dnr\tr\87924\annots.csv,D:\dnr\tr\87924\mix.wav,D:\dnr\tr\87924\music.wav,D:\dnr\tr\87924\sfx.wav,D:\dnr\tr\87924\speech.wav
D:\dnr\tr\87930\annots.csv,D:\dnr\tr\87930\mix.wav,D:\dnr\tr\87930\music.wav,D:\dnr\tr\87930\sfx.wav,D:\dnr\tr\87930\speech.wav
D:\dnr\tr\87941\annots.csv,D:\dnr\tr\87941\mix.wav,D:\dnr\tr\87941\music.wav,D:\dnr\tr\87941\sfx.wav,D:\dnr\tr\87941\speech.wav
D:\dnr\tr\87942\annots.csv,D:\dnr\tr\87942\mix.wav,D:\dnr\tr\87942\music.wav,D:\dnr\tr\87942\sfx.wav,D:\dnr\tr\87942\speech.wav
D:\dnr\tr\87951\annots.csv,D:\dnr\tr\87951\mix.wav,D:\dnr\tr\87951\music.wav,D:\dnr\tr\87951\sfx.wav,D:\dnr\tr\87951\speech.wav
D:\dnr\tr\87953\annots.csv,D:\dnr\tr\87953\mix.wav,D:\dnr\tr\87953\music.wav,D:\dnr\tr\87953\sfx.wav,D:\dnr\tr\87953\speech.wav
D:\dnr\tr\87972\annots.csv,D:\dnr\tr\87972\mix.wav,D:\dnr\tr\87972\music.wav,D:\dnr\tr\87972\sfx.wav,D:\dnr\tr\87972\speech.wav
D:\dnr\tr\87999\annots.csv,D:\dnr\tr\87999\mix.wav,D:\dnr\tr\87999\music.wav,D:\dnr\tr\87999\sfx.wav,D:\dnr\tr\87999\speech.wav
D:\dnr\tr\88065\annots.csv,D:\dnr\tr\88065\mix.wav,D:\dnr\tr\88065\music.wav,D:\dnr\tr\88065\sfx.wav,D:\dnr\tr\88065\speech.wav
D:\dnr\tr\88076\annots.csv,D:\dnr\tr\88076\mix.wav,D:\dnr\tr\88076\music.wav,D:\dnr\tr\88076\sfx.wav,D:\dnr\tr\88076\speech.wav
D:\dnr\tr\88116\annots.csv,D:\dnr\tr\88116\mix.wav,D:\dnr\tr\88116\music.wav,D:\dnr\tr\88116\sfx.wav,D:\dnr\tr\88116\speech.wav
D:\dnr\tr\88118\annots.csv,D:\dnr\tr\88118\mix.wav,D:\dnr\tr\88118\music.wav,D:\dnr\tr\88118\sfx.wav,D:\dnr\tr\88118\speech.wav
D:\dnr\tr\88165\annots.csv,D:\dnr\tr\88165\mix.wav,D:\dnr\tr\88165\music.wav,D:\dnr\tr\88165\sfx.wav,D:\dnr\tr\88165\speech.wav
D:\dnr\tr\88167\annots.csv,D:\dnr\tr\88167\mix.wav,D:\dnr\tr\88167\music.wav,D:\dnr\tr\88167\sfx.wav,D:\dnr\tr\88167\speech.wav
D:\dnr\tr\88214\annots.csv,D:\dnr\tr\88214\mix.wav,D:\dnr\tr\88214\music.wav,D:\dnr\tr\88214\sfx.wav,D:\dnr\tr\88214\speech.wav
D:\dnr\tr\88255\annots.csv,D:\dnr\tr\88255\mix.wav,D:\dnr\tr\88255\music.wav,D:\dnr\tr\88255\sfx.wav,D:\dnr\tr\88255\speech.wav
D:\dnr\tr\88269\annots.csv,D:\dnr\tr\88269\mix.wav,D:\dnr\tr\88269\music.wav,D:\dnr\tr\88269\sfx.wav,D:\dnr\tr\88269\speech.wav
D:\dnr\tr\88272\annots.csv,D:\dnr\tr\88272\mix.wav,D:\dnr\tr\88272\music.wav,D:\dnr\tr\88272\sfx.wav,D:\dnr\tr\88272\speech.wav
D:\dnr\tr\88286\annots.csv,D:\dnr\tr\88286\mix.wav,D:\dnr\tr\88286\music.wav,D:\dnr\tr\88286\sfx.wav,D:\dnr\tr\88286\speech.wav
D:\dnr\tr\8833\annots.csv,D:\dnr\tr\8833\mix.wav,D:\dnr\tr\8833\music.wav,D:\dnr\tr\8833\sfx.wav,D:\dnr\tr\8833\speech.wav
D:\dnr\tr\88335\annots.csv,D:\dnr\tr\88335\mix.wav,D:\dnr\tr\88335\music.wav,D:\dnr\tr\88335\sfx.wav,D:\dnr\tr\88335\speech.wav
D:\dnr\tr\8835\annots.csv,D:\dnr\tr\8835\mix.wav,D:\dnr\tr\8835\music.wav,D:\dnr\tr\8835\sfx.wav,D:\dnr\tr\8835\speech.wav
D:\dnr\tr\88391\annots.csv,D:\dnr\tr\88391\mix.wav,D:\dnr\tr\88391\music.wav,D:\dnr\tr\88391\sfx.wav,D:\dnr\tr\88391\speech.wav
D:\dnr\tr\8841\annots.csv,D:\dnr\tr\8841\mix.wav,D:\dnr\tr\8841\music.wav,D:\dnr\tr\8841\sfx.wav,D:\dnr\tr\8841\speech.wav
D:\dnr\tr\8850\annots.csv,D:\dnr\tr\8850\mix.wav,D:\dnr\tr\8850\music.wav,D:\dnr\tr\8850\sfx.wav,D:\dnr\tr\8850\speech.wav
D:\dnr\tr\88552\annots.csv,D:\dnr\tr\88552\mix.wav,D:\dnr\tr\88552\music.wav,D:\dnr\tr\88552\sfx.wav,D:\dnr\tr\88552\speech.wav
D:\dnr\tr\88602\annots.csv,D:\dnr\tr\88602\mix.wav,D:\dnr\tr\88602\music.wav,D:\dnr\tr\88602\sfx.wav,D:\dnr\tr\88602\speech.wav
D:\dnr\tr\88619\annots.csv,D:\dnr\tr\88619\mix.wav,D:\dnr\tr\88619\music.wav,D:\dnr\tr\88619\sfx.wav,D:\dnr\tr\88619\speech.wav
D:\dnr\tr\88716\annots.csv,D:\dnr\tr\88716\mix.wav,D:\dnr\tr\88716\music.wav,D:\dnr\tr\88716\sfx.wav,D:\dnr\tr\88716\speech.wav
D:\dnr\tr\8877\annots.csv,D:\dnr\tr\8877\mix.wav,D:\dnr\tr\8877\music.wav,D:\dnr\tr\8877\sfx.wav,D:\dnr\tr\8877\speech.wav
D:\dnr\tr\88816\annots.csv,D:\dnr\tr\88816\mix.wav,D:\dnr\tr\88816\music.wav,D:\dnr\tr\88816\sfx.wav,D:\dnr\tr\88816\speech.wav
D:\dnr\tr\88899\annots.csv,D:\dnr\tr\88899\mix.wav,D:\dnr\tr\88899\music.wav,D:\dnr\tr\88899\sfx.wav,D:\dnr\tr\88899\speech.wav
D:\dnr\tr\88968\annots.csv,D:\dnr\tr\88968\mix.wav,D:\dnr\tr\88968\music.wav,D:\dnr\tr\88968\sfx.wav,D:\dnr\tr\88968\speech.wav
D:\dnr\tr\88969\annots.csv,D:\dnr\tr\88969\mix.wav,D:\dnr\tr\88969\music.wav,D:\dnr\tr\88969\sfx.wav,D:\dnr\tr\88969\speech.wav
D:\dnr\tr\89019\annots.csv,D:\dnr\tr\89019\mix.wav,D:\dnr\tr\89019\music.wav,D:\dnr\tr\89019\sfx.wav,D:\dnr\tr\89019\speech.wav
D:\dnr\tr\89021\annots.csv,D:\dnr\tr\89021\mix.wav,D:\dnr\tr\89021\music.wav,D:\dnr\tr\89021\sfx.wav,D:\dnr\tr\89021\speech.wav
D:\dnr\tr\89023\annots.csv,D:\dnr\tr\89023\mix.wav,D:\dnr\tr\89023\music.wav,D:\dnr\tr\89023\sfx.wav,D:\dnr\tr\89023\speech.wav
D:\dnr\tr\89056\annots.csv,D:\dnr\tr\89056\mix.wav,D:\dnr\tr\89056\music.wav,D:\dnr\tr\89056\sfx.wav,D:\dnr\tr\89056\speech.wav
D:\dnr\tr\8908\annots.csv,D:\dnr\tr\8908\mix.wav,D:\dnr\tr\8908\music.wav,D:\dnr\tr\8908\sfx.wav,D:\dnr\tr\8908\speech.wav
D:\dnr\tr\89106\annots.csv,D:\dnr\tr\89106\mix.wav,D:\dnr\tr\89106\music.wav,D:\dnr\tr\89106\sfx.wav,D:\dnr\tr\89106\speech.wav
D:\dnr\tr\89164\annots.csv,D:\dnr\tr\89164\mix.wav,D:\dnr\tr\89164\music.wav,D:\dnr\tr\89164\sfx.wav,D:\dnr\tr\89164\speech.wav
D:\dnr\tr\89165\annots.csv,D:\dnr\tr\89165\mix.wav,D:\dnr\tr\89165\music.wav,D:\dnr\tr\89165\sfx.wav,D:\dnr\tr\89165\speech.wav
D:\dnr\tr\89174\annots.csv,D:\dnr\tr\89174\mix.wav,D:\dnr\tr\89174\music.wav,D:\dnr\tr\89174\sfx.wav,D:\dnr\tr\89174\speech.wav
D:\dnr\tr\89180\annots.csv,D:\dnr\tr\89180\mix.wav,D:\dnr\tr\89180\music.wav,D:\dnr\tr\89180\sfx.wav,D:\dnr\tr\89180\speech.wav
D:\dnr\tr\89185\annots.csv,D:\dnr\tr\89185\mix.wav,D:\dnr\tr\89185\music.wav,D:\dnr\tr\89185\sfx.wav,D:\dnr\tr\89185\speech.wav
D:\dnr\tr\89407\annots.csv,D:\dnr\tr\89407\mix.wav,D:\dnr\tr\89407\music.wav,D:\dnr\tr\89407\sfx.wav,D:\dnr\tr\89407\speech.wav
D:\dnr\tr\89409\annots.csv,D:\dnr\tr\89409\mix.wav,D:\dnr\tr\89409\music.wav,D:\dnr\tr\89409\sfx.wav,D:\dnr\tr\89409\speech.wav
D:\dnr\tr\89454\annots.csv,D:\dnr\tr\89454\mix.wav,D:\dnr\tr\89454\music.wav,D:\dnr\tr\89454\sfx.wav,D:\dnr\tr\89454\speech.wav
D:\dnr\tr\89467\annots.csv,D:\dnr\tr\89467\mix.wav,D:\dnr\tr\89467\music.wav,D:\dnr\tr\89467\sfx.wav,D:\dnr\tr\89467\speech.wav
D:\dnr\tr\89474\annots.csv,D:\dnr\tr\89474\mix.wav,D:\dnr\tr\89474\music.wav,D:\dnr\tr\89474\sfx.wav,D:\dnr\tr\89474\speech.wav
D:\dnr\tr\89487\annots.csv,D:\dnr\tr\89487\mix.wav,D:\dnr\tr\89487\music.wav,D:\dnr\tr\89487\sfx.wav,D:\dnr\tr\89487\speech.wav
D:\dnr\tr\89564\annots.csv,D:\dnr\tr\89564\mix.wav,D:\dnr\tr\89564\music.wav,D:\dnr\tr\89564\sfx.wav,D:\dnr\tr\89564\speech.wav
D:\dnr\tr\89611\annots.csv,D:\dnr\tr\89611\mix.wav,D:\dnr\tr\89611\music.wav,D:\dnr\tr\89611\sfx.wav,D:\dnr\tr\89611\speech.wav
D:\dnr\tr\89613\annots.csv,D:\dnr\tr\89613\mix.wav,D:\dnr\tr\89613\music.wav,D:\dnr\tr\89613\sfx.wav,D:\dnr\tr\89613\speech.wav
D:\dnr\tr\89615\annots.csv,D:\dnr\tr\89615\mix.wav,D:\dnr\tr\89615\music.wav,D:\dnr\tr\89615\sfx.wav,D:\dnr\tr\89615\speech.wav
D:\dnr\tr\89629\annots.csv,D:\dnr\tr\89629\mix.wav,D:\dnr\tr\89629\music.wav,D:\dnr\tr\89629\sfx.wav,D:\dnr\tr\89629\speech.wav
D:\dnr\tr\89657\annots.csv,D:\dnr\tr\89657\mix.wav,D:\dnr\tr\89657\music.wav,D:\dnr\tr\89657\sfx.wav,D:\dnr\tr\89657\speech.wav
D:\dnr\tr\89726\annots.csv,D:\dnr\tr\89726\mix.wav,D:\dnr\tr\89726\music.wav,D:\dnr\tr\89726\sfx.wav,D:\dnr\tr\89726\speech.wav
D:\dnr\tr\89751\annots.csv,D:\dnr\tr\89751\mix.wav,D:\dnr\tr\89751\music.wav,D:\dnr\tr\89751\sfx.wav,D:\dnr\tr\89751\speech.wav
D:\dnr\tr\89759\annots.csv,D:\dnr\tr\89759\mix.wav,D:\dnr\tr\89759\music.wav,D:\dnr\tr\89759\sfx.wav,D:\dnr\tr\89759\speech.wav
D:\dnr\tr\89770\annots.csv,D:\dnr\tr\89770\mix.wav,D:\dnr\tr\89770\music.wav,D:\dnr\tr\89770\sfx.wav,D:\dnr\tr\89770\speech.wav
D:\dnr\tr\89795\annots.csv,D:\dnr\tr\89795\mix.wav,D:\dnr\tr\89795\music.wav,D:\dnr\tr\89795\sfx.wav,D:\dnr\tr\89795\speech.wav
D:\dnr\tr\89801\annots.csv,D:\dnr\tr\89801\mix.wav,D:\dnr\tr\89801\music.wav,D:\dnr\tr\89801\sfx.wav,D:\dnr\tr\89801\speech.wav
D:\dnr\tr\89839\annots.csv,D:\dnr\tr\89839\mix.wav,D:\dnr\tr\89839\music.wav,D:\dnr\tr\89839\sfx.wav,D:\dnr\tr\89839\speech.wav
D:\dnr\tr\89856\annots.csv,D:\dnr\tr\89856\mix.wav,D:\dnr\tr\89856\music.wav,D:\dnr\tr\89856\sfx.wav,D:\dnr\tr\89856\speech.wav
D:\dnr\tr\89879\annots.csv,D:\dnr\tr\89879\mix.wav,D:\dnr\tr\89879\music.wav,D:\dnr\tr\89879\sfx.wav,D:\dnr\tr\89879\speech.wav
D:\dnr\tr\89890\annots.csv,D:\dnr\tr\89890\mix.wav,D:\dnr\tr\89890\music.wav,D:\dnr\tr\89890\sfx.wav,D:\dnr\tr\89890\speech.wav
D:\dnr\tr\89909\annots.csv,D:\dnr\tr\89909\mix.wav,D:\dnr\tr\89909\music.wav,D:\dnr\tr\89909\sfx.wav,D:\dnr\tr\89909\speech.wav
D:\dnr\tr\89956\annots.csv,D:\dnr\tr\89956\mix.wav,D:\dnr\tr\89956\music.wav,D:\dnr\tr\89956\sfx.wav,D:\dnr\tr\89956\speech.wav
D:\dnr\tr\89981\annots.csv,D:\dnr\tr\89981\mix.wav,D:\dnr\tr\89981\music.wav,D:\dnr\tr\89981\sfx.wav,D:\dnr\tr\89981\speech.wav
D:\dnr\tr\90021\annots.csv,D:\dnr\tr\90021\mix.wav,D:\dnr\tr\90021\music.wav,D:\dnr\tr\90021\sfx.wav,D:\dnr\tr\90021\speech.wav
D:\dnr\tr\90077\annots.csv,D:\dnr\tr\90077\mix.wav,D:\dnr\tr\90077\music.wav,D:\dnr\tr\90077\sfx.wav,D:\dnr\tr\90077\speech.wav
D:\dnr\tr\90097\annots.csv,D:\dnr\tr\90097\mix.wav,D:\dnr\tr\90097\music.wav,D:\dnr\tr\90097\sfx.wav,D:\dnr\tr\90097\speech.wav
D:\dnr\tr\90178\annots.csv,D:\dnr\tr\90178\mix.wav,D:\dnr\tr\90178\music.wav,D:\dnr\tr\90178\sfx.wav,D:\dnr\tr\90178\speech.wav
D:\dnr\tr\9019\annots.csv,D:\dnr\tr\9019\mix.wav,D:\dnr\tr\9019\music.wav,D:\dnr\tr\9019\sfx.wav,D:\dnr\tr\9019\speech.wav
D:\dnr\tr\902\annots.csv,D:\dnr\tr\902\mix.wav,D:\dnr\tr\902\music.wav,D:\dnr\tr\902\sfx.wav,D:\dnr\tr\902\speech.wav
D:\dnr\tr\90279\annots.csv,D:\dnr\tr\90279\mix.wav,D:\dnr\tr\90279\music.wav,D:\dnr\tr\90279\sfx.wav,D:\dnr\tr\90279\speech.wav
D:\dnr\tr\90286\annots.csv,D:\dnr\tr\90286\mix.wav,D:\dnr\tr\90286\music.wav,D:\dnr\tr\90286\sfx.wav,D:\dnr\tr\90286\speech.wav
D:\dnr\tr\90290\annots.csv,D:\dnr\tr\90290\mix.wav,D:\dnr\tr\90290\music.wav,D:\dnr\tr\90290\sfx.wav,D:\dnr\tr\90290\speech.wav
D:\dnr\tr\903\annots.csv,D:\dnr\tr\903\mix.wav,D:\dnr\tr\903\music.wav,D:\dnr\tr\903\sfx.wav,D:\dnr\tr\903\speech.wav
D:\dnr\tr\90345\annots.csv,D:\dnr\tr\90345\mix.wav,D:\dnr\tr\90345\music.wav,D:\dnr\tr\90345\sfx.wav,D:\dnr\tr\90345\speech.wav
D:\dnr\tr\90391\annots.csv,D:\dnr\tr\90391\mix.wav,D:\dnr\tr\90391\music.wav,D:\dnr\tr\90391\sfx.wav,D:\dnr\tr\90391\speech.wav
D:\dnr\tr\90429\annots.csv,D:\dnr\tr\90429\mix.wav,D:\dnr\tr\90429\music.wav,D:\dnr\tr\90429\sfx.wav,D:\dnr\tr\90429\speech.wav
D:\dnr\tr\90440\annots.csv,D:\dnr\tr\90440\mix.wav,D:\dnr\tr\90440\music.wav,D:\dnr\tr\90440\sfx.wav,D:\dnr\tr\90440\speech.wav
D:\dnr\tr\90457\annots.csv,D:\dnr\tr\90457\mix.wav,D:\dnr\tr\90457\music.wav,D:\dnr\tr\90457\sfx.wav,D:\dnr\tr\90457\speech.wav
D:\dnr\tr\90498\annots.csv,D:\dnr\tr\90498\mix.wav,D:\dnr\tr\90498\music.wav,D:\dnr\tr\90498\sfx.wav,D:\dnr\tr\90498\speech.wav
D:\dnr\tr\90521\annots.csv,D:\dnr\tr\90521\mix.wav,D:\dnr\tr\90521\music.wav,D:\dnr\tr\90521\sfx.wav,D:\dnr\tr\90521\speech.wav
D:\dnr\tr\90528\annots.csv,D:\dnr\tr\90528\mix.wav,D:\dnr\tr\90528\music.wav,D:\dnr\tr\90528\sfx.wav,D:\dnr\tr\90528\speech.wav
D:\dnr\tr\90529\annots.csv,D:\dnr\tr\90529\mix.wav,D:\dnr\tr\90529\music.wav,D:\dnr\tr\90529\sfx.wav,D:\dnr\tr\90529\speech.wav
D:\dnr\tr\9054\annots.csv,D:\dnr\tr\9054\mix.wav,D:\dnr\tr\9054\music.wav,D:\dnr\tr\9054\sfx.wav,D:\dnr\tr\9054\speech.wav
D:\dnr\tr\90580\annots.csv,D:\dnr\tr\90580\mix.wav,D:\dnr\tr\90580\music.wav,D:\dnr\tr\90580\sfx.wav,D:\dnr\tr\90580\speech.wav
D:\dnr\tr\90606\annots.csv,D:\dnr\tr\90606\mix.wav,D:\dnr\tr\90606\music.wav,D:\dnr\tr\90606\sfx.wav,D:\dnr\tr\90606\speech.wav
D:\dnr\tr\90613\annots.csv,D:\dnr\tr\90613\mix.wav,D:\dnr\tr\90613\music.wav,D:\dnr\tr\90613\sfx.wav,D:\dnr\tr\90613\speech.wav
D:\dnr\tr\9069\annots.csv,D:\dnr\tr\9069\mix.wav,D:\dnr\tr\9069\music.wav,D:\dnr\tr\9069\sfx.wav,D:\dnr\tr\9069\speech.wav
D:\dnr\tr\90713\annots.csv,D:\dnr\tr\90713\mix.wav,D:\dnr\tr\90713\music.wav,D:\dnr\tr\90713\sfx.wav,D:\dnr\tr\90713\speech.wav
D:\dnr\tr\90715\annots.csv,D:\dnr\tr\90715\mix.wav,D:\dnr\tr\90715\music.wav,D:\dnr\tr\90715\sfx.wav,D:\dnr\tr\90715\speech.wav
D:\dnr\tr\90799\annots.csv,D:\dnr\tr\90799\mix.wav,D:\dnr\tr\90799\music.wav,D:\dnr\tr\90799\sfx.wav,D:\dnr\tr\90799\speech.wav
D:\dnr\tr\90853\annots.csv,D:\dnr\tr\90853\mix.wav,D:\dnr\tr\90853\music.wav,D:\dnr\tr\90853\sfx.wav,D:\dnr\tr\90853\speech.wav
D:\dnr\tr\9087\annots.csv,D:\dnr\tr\9087\mix.wav,D:\dnr\tr\9087\music.wav,D:\dnr\tr\9087\sfx.wav,D:\dnr\tr\9087\speech.wav
D:\dnr\tr\90876\annots.csv,D:\dnr\tr\90876\mix.wav,D:\dnr\tr\90876\music.wav,D:\dnr\tr\90876\sfx.wav,D:\dnr\tr\90876\speech.wav
D:\dnr\tr\9089\annots.csv,D:\dnr\tr\9089\mix.wav,D:\dnr\tr\9089\music.wav,D:\dnr\tr\9089\sfx.wav,D:\dnr\tr\9089\speech.wav
D:\dnr\tr\90936\annots.csv,D:\dnr\tr\90936\mix.wav,D:\dnr\tr\90936\music.wav,D:\dnr\tr\90936\sfx.wav,D:\dnr\tr\90936\speech.wav
D:\dnr\tr\90951\annots.csv,D:\dnr\tr\90951\mix.wav,D:\dnr\tr\90951\music.wav,D:\dnr\tr\90951\sfx.wav,D:\dnr\tr\90951\speech.wav
D:\dnr\tr\90957\annots.csv,D:\dnr\tr\90957\mix.wav,D:\dnr\tr\90957\music.wav,D:\dnr\tr\90957\sfx.wav,D:\dnr\tr\90957\speech.wav
D:\dnr\tr\90958\annots.csv,D:\dnr\tr\90958\mix.wav,D:\dnr\tr\90958\music.wav,D:\dnr\tr\90958\sfx.wav,D:\dnr\tr\90958\speech.wav
D:\dnr\tr\90980\annots.csv,D:\dnr\tr\90980\mix.wav,D:\dnr\tr\90980\music.wav,D:\dnr\tr\90980\sfx.wav,D:\dnr\tr\90980\speech.wav
D:\dnr\tr\91013\annots.csv,D:\dnr\tr\91013\mix.wav,D:\dnr\tr\91013\music.wav,D:\dnr\tr\91013\sfx.wav,D:\dnr\tr\91013\speech.wav
D:\dnr\tr\91024\annots.csv,D:\dnr\tr\91024\mix.wav,D:\dnr\tr\91024\music.wav,D:\dnr\tr\91024\sfx.wav,D:\dnr\tr\91024\speech.wav
D:\dnr\tr\91050\annots.csv,D:\dnr\tr\91050\mix.wav,D:\dnr\tr\91050\music.wav,D:\dnr\tr\91050\sfx.wav,D:\dnr\tr\91050\speech.wav
D:\dnr\tr\9112\annots.csv,D:\dnr\tr\9112\mix.wav,D:\dnr\tr\9112\music.wav,D:\dnr\tr\9112\sfx.wav,D:\dnr\tr\9112\speech.wav
